"<HEADER software/>"
EwEVersion,"6.7.0.18858 (compiled 5/2/2024)"
Date,"10/21/2024 5:10:42 PM"
"<HEADER ecopath/>"
ModelName,1
ModelSource,"C:\Users\Matt Woodstock\Documents\USGWEM Ecospace\USGWEM_v2.02.eweaccdb.mdb"
"<HEADER ecosim/>"
EcosimScenario,sim-spa_02
TimeSeries,-
StartYear,1980
"<HEADER ecospace/>"
EcospaceScenario,exp2_04_MOM6-phyc-vint
MapRows,53
MapCols,131
MapCellLength,14.84601
MapCellSize,0.1335878
MapLatitude,31.00668
MapLongitude,-98
NoActiveCells,5258
EcoSpaceTimeStepLength,0.0833333333333333
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\Matt Woodstock\AppData\Roaming\Ecopath with Ecosim\ewe_datasets.xml"
"<HEADER end/>"
Variable,EcospaceMapEffort
Fleet name,Comm_Longline_Shark

Step,1
Year,0.08333334
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00881024077534676,0.00893910229206085,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0129671590402722,0.0130464900285006,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000475813809316605,0.000719605886843055,0.00108677928801626,0.00163219729438424,-9999,-9999,-9999,-9999,-9999,0.465952098369598,0.0635340884327888,0.0170988813042641,0.0164643600583076,0.0153686068952084,0.0146422060206532,1.13716900348663,1.18144226074219,1.16440069675446,0.204788267612457,1.36465978622437,1.05592131614685,-9999,-9999,0.862813711166382,1.26060676574707,1.15480077266693,1.11816596984863,1.25870728492737,1.22625875473022,1.1892341375351,1.15395104885101,1.10875451564789,0.865789115428925,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000472890911623836,0.00071737653343007,0.00109689100645483,0.00166444515343755,0.00219987845048308,0.00328748184256256,0.00361260073259473,-9999,0.017949815839529,1.46772289276123,0.485716730356216,0.871076941490173,2.07510089874268,2.05808854103088,0.0685948878526688,0.76632958650589,1.8617662191391,1.90188789367676,1.82647919654846,1.72723913192749,1.67164695262909,1.46835517883301,1.48135411739349,1.5442578792572,1.48575818538666,1.43156695365906,1.38188147544861,1.3314722776413,1.28342878818512,1.24433982372284,1.20733654499054,1.17101490497589,1.13638722896576,1.09686708450317,1.04039037227631,1.00856375694275,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000710330321453512,0.00108695973176509,0.00169083464425057,0.00256969057954848,0.00337845738977194,0.00503948098048568,0.00629770290106535,0.0108578186482191,0.0143299596384168,1.02244079113007,2.06801724433899,2.27828001976013,2.37670230865479,2.30974507331848,2.2045726776123,2.10976552963257,2.0250940322876,1.96070778369904,1.90610587596893,1.84690368175507,1.78744029998779,1.72313344478607,1.65134429931641,1.59076797962189,1.52261185646057,1.45741951465607,1.39312696456909,1.32005143165588,1.05212652683258,1.1544805765152,1.16308522224426,1.12958753108978,1.09945917129517,1.07408916950226,1.05054211616516,1.02734315395355,0.995722651481628,0.967280209064484,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.991296768188477,0.995932817459106,1.00026476383209,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.440656691789627,-9999,-9999,-9999,0.557362079620361,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00116957107093185,0.0017581608844921,0.00210520066320896,-9999,0.00667636143043637,0.0104992110282183,0.0149777270853519,0.129630073904991,1.68298852443695,2.25919342041016,2.31790256500244,2.05191874504089,2.17707252502441,2.10119485855103,2.02406573295593,1.95381379127502,1.89067423343658,1.83375298976898,1.77636253833771,1.71874964237213,1.65459060668945,1.59251201152802,1.53398621082306,1.47097027301788,1.37149846553802,0.142574682831764,0.0525578819215298,0.0583321340382099,0.372059404850006,0.822872042655945,0.94755893945694,1.01866114139557,1.02814984321594,1.0187793970108,1.01027691364288,0.995399177074432,0.971584558486938,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.38300502300262,1.58811044692993,1.41325414180756,1.00801908969879,1.01835501194,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.565654516220093,0.735446572303772,-9999,-9999,0.757620751857758,0.783831059932709,-9999,-9999,0.635610401630402,0.986473083496094,-9999,-9999,-9999,-9999,-9999,0.644230663776398,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0125406831502914,0.0172318927943707,0.081492505967617,0.180829003453255,1.44790685176849,1.45027935504913,1.40529751777649,1.34801816940308,2.13974571228027,2.08028936386108,1.99544620513916,1.91491103172302,1.85343945026398,1.80181550979614,1.75016748905182,1.69630599021912,1.63786828517914,1.58202373981476,1.53828036785126,0.986025810241699,0.0517856031656265,0.0486876778304577,0.0447559915482998,0.0484339371323586,0.0514580383896828,0.150865465402603,0.326156735420227,0.814228177070618,0.992086350917816,0.99723345041275,1.00597560405731,1.00944030284882,1.00108027458191,0.988815426826477,-9999,-9999,-9999,-9999,-9999,1.37233340740204,1.40815532207489,1.5591516494751,1.61052060127258,1.63644587993622,1.63840413093567,1.52849173545837,1.03174448013306,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.875263273715973,1.3633269071579,-9999,-9999,-9999,-9999,0.922834157943726,1.05136215686798,1.04953253269196,1.82975172996521,0.57328462600708,1.8489944934845,1.95954918861389,2.0766396522522,1.9368724822998,0.911814391613007,-9999,0.547556221485138,1.09432554244995,-9999,-9999,1.70700645446777,0.58141028881073,0.0718418657779694,0.0170841421931982,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.14219057559967,0.198285713791847,-9999,-9999,-9999,0.663381338119507,1.53424942493439,1.50897169113159,1.48135662078857,1.44190216064453,1.38924765586853,1.88813948631287,2.12913775444031,2.06316947937012,1.96467590332031,1.87532198429108,1.81355679035187,1.76959753036499,1.71498131752014,1.66055345535278,1.62223958969116,1.56889963150024,1.10927104949951,0.051624983549118,0.0447317846119404,0.0427320450544357,0.0394825898110867,0.0415446721017361,0.0432791672646999,0.0492147505283356,0.0755404457449913,0.765316069126129,0.945985019207001,0.978200674057007,0.998855173587799,1.01524877548218,1.02247631549835,1.00603175163269,0.616303443908691,0.278119593858719,0.00819486565887928,0.187086597084999,1.36160588264465,1.43296420574188,1.49439167976379,1.55477941036224,1.59658968448639,1.63653481006622,1.66684114933014,1.68852269649506,1.46644365787506,1.04822063446045,1.05741584300995,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
