"<HEADER software/>"
EwEVersion,"6.7.0.18858 (compiled 5/2/2024)"
Date,"10/21/2024 5:10:42 PM"
"<HEADER ecopath/>"
ModelName,1
ModelSource,"C:\Users\Matt Woodstock\Documents\USGWEM Ecospace\USGWEM_v2.02.eweaccdb.mdb"
"<HEADER ecosim/>"
EcosimScenario,sim-spa_02
TimeSeries,-
StartYear,1980
"<HEADER ecospace/>"
EcospaceScenario,exp2_04_MOM6-phyc-vint
MapRows,53
MapCols,131
MapCellLength,14.84601
MapCellSize,0.1335878
MapLatitude,31.00668
MapLongitude,-98
NoActiveCells,5258
EcoSpaceTimeStepLength,0.0833333333333333
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\Matt Woodstock\AppData\Roaming\Ecopath with Ecosim\ewe_datasets.xml"
"<HEADER end/>"
Variable,EcospaceMapEffort
Fleet name,Comm_Nets

Step,1
Year,0.08333334
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.571557939052582,0.584334135055542,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.1591784954071,1.23227262496948,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.439310818910599,0.485262602567673,0.51236617565155,0.505809664726257,-9999,-9999,-9999,-9999,-9999,2.03581476211548,1.96127080917358,1.75199735164642,1.6869443655014,1.60302436351776,1.60581994056702,1.99034893512726,1.95322728157043,1.94897496700287,1.64541292190552,1.7978527545929,1.49248850345612,-9999,-9999,1.27303647994995,1.40380191802979,1.26515126228333,1.29745173454285,1.30792272090912,1.43739545345306,1.48815655708313,1.47641277313232,1.44902539253235,1.42770612239838,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.442528009414673,0.507847964763641,0.636031150817871,0.703185200691223,0.588095128536224,0.684466958045959,0.521048665046692,-9999,1.19224429130554,1.83852887153625,1.84084784984589,2.02782106399536,2.04855751991272,2.0083475112915,1.67233371734619,1.9627298116684,1.94915163516998,1.92247116565704,1.91999459266663,1.85123300552368,1.72709858417511,1.51958167552948,1.44236755371094,1.35836815834045,1.27965533733368,1.23650145530701,1.06530559062958,1.01648700237274,0.944518566131592,0.978194534778595,0.970451891422272,0.986469447612762,1.01328194141388,1.07192409038544,0.99080765247345,0.824796557426453,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.483311057090759,0.632508456707001,1.02629697322845,1.13770759105682,0.899842381477356,0.968673586845398,0.793299674987793,1.02197647094727,0.852454245090485,1.52496790885925,1.72396957874298,1.94052958488464,1.88297247886658,1.82995426654816,1.72885453701019,1.71636402606964,1.63909912109375,1.59371852874756,1.55159151554108,1.59243297576904,1.56204676628113,1.44200551509857,1.29339647293091,1.14830195903778,1.08496451377869,0.957613587379456,0.830025851726532,0.702642321586609,0.307415544986725,0.416125237941742,0.569535315036774,0.568303942680359,0.598116993904114,0.668437421321869,0.698214054107666,0.746869623661041,0.757878839969635,0.774051189422607,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.0013792514801,1.97338378429413,1.80890941619873,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.274123787879944,-9999,-9999,-9999,0.26372042298317,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.32421326637268,1.35369741916656,0.875233113765717,-9999,0.888843059539795,1.05345821380615,0.960739731788635,1.38915646076202,1.69856548309326,1.84239590167999,1.73321986198425,1.63968479633331,1.55182981491089,1.45010113716125,1.29727530479431,1.25004994869232,1.20255327224731,1.22625863552094,1.20506048202515,1.14399790763855,0.938637435436249,0.887371420860291,0.839146435260773,0.788972795009613,0.485676944255829,0.273059397935867,0.195811435580254,0.260698646306992,0.285190165042877,0.284234583377838,0.30795094370842,0.430248469114304,0.582689344882965,0.637837767601013,0.762189388275146,0.837791562080383,0.817925810813904,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.66244304180145,1.69429981708527,1.5714123249054,1.81218159198761,1.85854959487915,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.484745234251022,0.498577415943146,-9999,-9999,0.739507257938385,0.672755479812622,-9999,-9999,0.455839246511459,0.503445446491241,-9999,-9999,-9999,-9999,-9999,1.78370606899261,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.38092112541199,1.19811284542084,1.08847665786743,1.2630352973938,1.54451203346252,1.69018054008484,1.52182447910309,1.50272083282471,1.41226196289063,1.29559504985809,1.01651358604431,0.872678279876709,0.841767370700836,0.856861054897308,0.873357653617859,0.83171409368515,0.730271339416504,0.647916972637177,0.658633828163147,0.294551134109497,0.240317106246948,0.0178755074739456,0.0338407941162586,0.126969859004021,0.250904470682144,0.282866090536118,0.260487020015717,0.276093900203705,0.429014265537262,0.496403753757477,0.633150637149811,0.780899107456207,0.900321006774902,1.00510382652283,-9999,-9999,-9999,-9999,-9999,1.42662382125854,1.44674432277679,1.49554312229156,1.49594628810883,1.80359172821045,1.82362484931946,1.89230155944824,1.99281370639801,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.98747330904007,1.46516561508179,-9999,-9999,-9999,-9999,0.790708005428314,1.01267337799072,1.05160784721375,1.24180805683136,1.29616379737854,1.2551656961441,1.16952800750732,0.989814043045044,1.08703923225403,0.613378942012787,-9999,0.245307743549347,0.675829410552979,-9999,-9999,1.31270682811737,1.19489014148712,0.992064774036407,0.875516355037689,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.70129680633545,1.58456170558929,-9999,-9999,-9999,1.54574334621429,1.60062313079834,1.60589492321014,1.55118823051453,1.46586716175079,1.36291265487671,1.3467310667038,1.34170508384705,1.16135501861572,0.81091833114624,0.666953504085541,0.648289620876312,0.657948136329651,0.638964056968689,0.561936557292938,0.562495291233063,0.503115355968475,0.301266074180603,0.0963366255164146,0.0117095457389951,0.0088806189596653,0.00952622294425964,0.0186830442398787,0.0805520191788673,0.214274019002914,0.27655816078186,0.290382772684097,0.355615824460983,0.431345731019974,0.561590254306793,0.775189101696014,0.904701113700867,1.07254779338837,1.07541656494141,1.12529587745667,0.726052224636078,1.06397533416748,1.20404088497162,1.29083728790283,1.31210315227509,1.34144771099091,1.26794683933258,1.31977784633636,1.44472897052765,1.96005988121033,1.96643733978271,2.07329416275024,2.1095552444458,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
