"<HEADER software/>"
EwEVersion,"6.7.0.18858 (compiled 5/2/2024)"
Date,"10/21/2024 5:10:42 PM"
"<HEADER ecopath/>"
ModelName,1
ModelSource,"C:\Users\Matt Woodstock\Documents\USGWEM Ecospace\USGWEM_v2.02.eweaccdb.mdb"
"<HEADER ecosim/>"
EcosimScenario,sim-spa_02
TimeSeries,-
StartYear,1980
"<HEADER ecospace/>"
EcospaceScenario,exp2_04_MOM6-phyc-vint
MapRows,53
MapCols,131
MapCellLength,14.84601
MapCellSize,0.1335878
MapLatitude,31.00668
MapLongitude,-98
NoActiveCells,5258
EcoSpaceTimeStepLength,0.0833333333333333
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\Matt Woodstock\AppData\Roaming\Ecopath with Ecosim\ewe_datasets.xml"
"<HEADER end/>"
Variable,EcospaceMapEffort
Fleet name,Comm_Purse_Menhaden

Step,1
Year,0.08333334
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.015523006208241,0.037441972643137,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0859565362334251,0.125733762979507,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0322355553507805,0.0346177667379379,0.0345240011811256,0.0310693774372339,-9999,-9999,-9999,-9999,-9999,0.075258232653141,0.0589563176035881,0.085672527551651,0.179068878293037,0.139174059033394,0.0538417920470238,0.495250523090363,0.507498621940613,0.580532193183899,0.130292862653732,0.530332386493683,0.164660334587097,-9999,-9999,0.114492066204548,0.161777913570404,0.099255807697773,0.0825904086232185,0.110078722238541,0.15767677128315,0.153938114643097,0.137755483388901,0.106605999171734,0.0687018558382988,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0331478305160999,0.0374413058161736,0.0457500629127026,0.0479948408901691,0.0374385342001915,0.0430926978588104,0.0362185202538967,-9999,0.037537969648838,0.180040866136551,0.0526104494929314,0.324243247509003,1.07071661949158,0.961006045341492,0.137871861457825,0.158814087510109,0.959498941898346,0.766816020011902,0.6232550740242,0.50062757730484,0.5162633061409,0.293350756168365,0.295940726995468,0.289192527532578,0.323872148990631,0.462333232164383,0.350368201732635,0.415360480546951,0.318244785070419,0.325629681348801,0.292804598808289,0.233111038804054,0.249379754066467,0.286401659250259,0.151657626032829,0.0597055815160275,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0363960340619087,0.0469396449625492,0.0743965804576874,0.0791567265987396,0.0586339198052883,0.0577070713043213,0.0483130812644958,0.0513288713991642,0.0299746748059988,0.0394670739769936,0.500349462032318,1.21722447872162,1.35719013214111,1.64291548728943,1.26544666290283,1.87310528755188,1.40087187290192,1.22375643253326,1.25392520427704,1.29834938049316,1.03083562850952,1.00046193599701,0.736782491207123,0.755424499511719,0.6458780169487,0.500050961971283,0.222643166780472,0.217845723032951,0.00199395464733243,0.0581450089812279,0.12028494477272,0.118584483861923,0.0520280040800571,0.152419611811638,0.12499575316906,0.106662027537823,0.0547020770609379,0.0197155568748713,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00122072268277407,0.00205060723237693,0.00128080858848989,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0520063415169716,-9999,-9999,-9999,0.231022402644157,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0983904898166656,0.0961934328079224,0.0605119653046131,-9999,0.048771683126688,0.0515035092830658,0.0410219468176365,0.0458993464708328,0.363584756851196,0.50609278678894,0.949604272842407,0.483779072761536,1.37883114814758,1.548668384552,1.53611028194427,1.26261246204376,1.24870777130127,1.24417781829834,1.02616930007935,1.15425312519073,0.608295202255249,0.656962156295776,0.513129651546478,0.375422686338425,0.153785139322281,0.00191217195242643,0.00279795052483678,0.00241184956394136,0.00120378029532731,0.00102663261350244,0.00123125500977039,0.0278626047074795,0.0462288148701191,0.0814274027943611,0.10580862313509,0.0778728872537613,0.0185381360352039,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00316686299629509,0.00296144234016538,0.00112061889376491,0.000143629091326147,0.000587487942539155,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.062118224799633,0.286504864692688,-9999,-9999,0.431608974933624,0.201247602701187,-9999,-9999,0.202212125062943,0.305024564266205,-9999,-9999,-9999,-9999,-9999,0.0630043670535088,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0706251114606857,0.0562516823410988,0.0859285742044449,0.0470768101513386,0.510913610458374,0.74779349565506,0.564828991889954,0.465533435344696,0.987247347831726,1.40690660476685,1.06471371650696,0.576418101787567,0.853304743766785,1.10259974002838,0.860908210277557,0.678442120552063,0.628690481185913,0.284347891807556,0.431694239377975,0.00344465347006917,0.00334759522229433,0.000946138286963105,0.000974608759861439,0.00556476321071386,0.00229604239575565,0.00118166825268418,0.000841753324493766,0.00118184450548142,0.0466125346720219,0.0355527065694332,0.0436915494501591,0.0769979581236839,0.0500513724982738,0.02167166210711,-9999,-9999,-9999,-9999,-9999,0.00372713804244995,0.00349674187600613,0.00366599182598293,0.00524705136194825,0.00239296373911202,0.00148087169509381,0.00150138675235212,0.000929485366214067,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0628954097628593,0.0233453232795,-9999,-9999,-9999,-9999,0.145014956593513,0.237740874290466,0.0457388535141945,0.320717692375183,0.0294404551386833,0.511462867259979,0.45179495215416,0.618954122066498,0.531337320804596,0.276171624660492,-9999,0.171302303671837,0.400924623012543,-9999,-9999,0.473121345043182,0.0442502200603485,0.0464428327977657,0.0166224595159292,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0843250155448914,0.0792803466320038,-9999,-9999,-9999,0.068804569542408,0.665813207626343,0.549893438816071,0.240401744842529,0.548065483570099,0.598201096057892,0.453033864498138,1.27328431606293,1.88480603694916,0.537506282329559,0.384796530008316,0.688700914382935,0.5829838514328,0.702616035938263,0.498828768730164,0.451686173677444,0.250874280929565,0.00256452010944486,0.00535234995186329,0.0019227652810514,0.00127790728583932,0.000995296519249678,0.00250633829273283,0.000848858500830829,0.00118337559979409,0.00110370805487037,0.00091917032841593,0.0156080173328519,0.0155340321362019,0.0315489359200001,0.0517557635903358,0.0520009882748127,0.025133304297924,0.0078867981210351,0.000966947758570313,0.00048216141294688,0.000371886329958215,0.00440249731764197,0.00719610182568431,0.00721206935122609,0.00743697909638286,0.00643480150029063,0.0042343121021986,0.00236891582608223,0.00223449035547674,0.00124422810040414,0.000573052675463259,0.000151200743857771,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
