"<HEADER software/>"
EwEVersion,"6.7.0.18858 (compiled 5/2/2024)"
Date,"10/21/2024 5:10:42 PM"
"<HEADER ecopath/>"
ModelName,1
ModelSource,"C:\Users\Matt Woodstock\Documents\USGWEM Ecospace\USGWEM_v2.02.eweaccdb.mdb"
"<HEADER ecosim/>"
EcosimScenario,sim-spa_02
TimeSeries,-
StartYear,1980
"<HEADER ecospace/>"
EcospaceScenario,exp2_04_MOM6-phyc-vint
MapRows,53
MapCols,131
MapCellLength,14.84601
MapCellSize,0.1335878
MapLatitude,31.00668
MapLongitude,-98
NoActiveCells,5258
EcoSpaceTimeStepLength,0.0833333333333333
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\Matt Woodstock\AppData\Roaming\Ecopath with Ecosim\ewe_datasets.xml"
"<HEADER end/>"
Variable,EcospaceMapEffort
Fleet name,Comm_Trawl_Bottom_Other

Step,1
Year,0.08333334
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0153989847749472,0.0151594867929816,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0219805333763361,0.0212407782673836,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0211220756173134,0.0220188777893782,0.0204750634729862,0.0162004660815001,-9999,-9999,-9999,-9999,-9999,0.479799032211304,0.185807004570961,0.0463626831769943,0.0401540398597717,0.0370241664350033,0.0393140390515327,1.31847763061523,1.47805726528168,1.27494692802429,0.226130038499832,0.721272706985474,0.461547046899796,-9999,-9999,0.354132771492004,0.420734465122223,0.161196738481522,0.177940115332603,0.0651838630437851,0.0837903767824173,0.0893195644021034,0.0809083804488182,0.242615312337875,0.300655514001846,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0222974419593811,0.0249211080372334,0.0306489802896976,0.0304450746625662,0.0205569546669722,0.0241545364260674,0.0265601109713316,-9999,0.0317987129092216,0.818187415599823,0.455411642789841,0.779807031154633,0.935332000255585,0.875506162643433,0.11064737290144,0.78350430727005,1.08920884132385,1.12563633918762,1.22187638282776,0.922777831554413,0.942060530185699,0.55454820394516,0.536553621292114,0.347000628709793,0.299107909202576,0.411428451538086,0.168089583516121,0.208460003137589,0.0737066194415092,0.0824845805764198,0.0758759081363678,0.0741230696439743,0.276279449462891,0.318712025880814,0.249709695577621,0.0434171892702579,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0246632657945156,0.032769076526165,0.0597086995840073,0.0624697804450989,0.0438563525676727,0.0425058454275131,0.0363850370049477,0.0396791696548462,0.0235539097338915,0.37119048833847,0.578752040863037,0.83057975769043,0.69162929058075,0.7005655169487,0.70660811662674,0.944826781749725,0.939855337142944,1.14716112613678,1.25308060646057,1.03945446014404,0.964769065380096,0.576976835727692,0.342158406972885,0.112421222031116,0.116911485791206,0.10335148870945,0.370986580848694,0.742119073867798,1.29966485500336,0.832931458950043,0.420602351427078,0.0823965221643448,0.0817197859287262,0.0819353982806206,0.0574533566832542,0.0430191345512867,0.0276169795542955,0.040000569075346,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.27681338787079,1.21593713760376,0.763826370239258,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.113250218331814,-9999,-9999,-9999,0.169804126024246,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0783240422606468,0.0752791836857796,0.0455572605133057,-9999,0.037057526409626,0.0398483015596867,0.0334267728030682,0.209864974021912,0.978889226913452,1.05941605567932,0.684508681297302,0.729933738708496,0.731882572174072,1.30279195308685,1.39712512493134,1.29258108139038,1.24542891979218,0.845310747623444,0.636340439319611,0.282991170883179,0.12762288749218,0.135143026709557,0.137127444148064,0.562729895114899,1.24676728248596,1.93720054626465,0.645957291126251,1.34919250011444,0.921274542808533,0.358018130064011,0.312998205423355,0.309835612773895,0.120242662727833,0.0920599699020386,0.0679225102066994,0.0454848185181618,0.0532658435404301,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.850383341312408,0.871272146701813,0.585522413253784,0.630748331546783,0.793754696846008,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.255456417798996,0.244868785142899,-9999,-9999,0.505013465881348,0.495780736207962,-9999,-9999,0.321154087781906,0.343646585941315,-9999,-9999,-9999,-9999,-9999,1.21585607528687,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0562084130942822,0.046062383800745,0.215021774172783,0.338795900344849,1.04100441932678,1.14773690700531,0.639065444469452,0.749719440937042,0.723780870437622,1.57007002830505,1.89935266971588,1.62530982494354,1.08865785598755,0.549086332321167,0.433081448078156,0.329221487045288,0.14905309677124,0.223286092281342,0.715126395225525,1.55471849441528,1.08092093467712,0.00781171629205346,0.00948782451450825,0.314819246530533,1.18337965011597,1.30760586261749,0.872614979743958,0.535758674144745,0.166664764285088,0.11902417242527,0.112145245075226,0.0938951969146729,0.0899491459131241,0.314666032791138,-9999,-9999,-9999,-9999,-9999,0.170040562748909,0.299400806427002,0.285841256380081,0.290338575839996,0.234942704439163,0.43133732676506,0.664884924888611,1.12629175186157,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.369980752468109,0.638043820858002,-9999,-9999,-9999,-9999,0.476653158664703,0.55582720041275,0.514729797840118,0.789272665977478,0.653967499732971,0.895473301410675,0.856466352939606,0.505163788795471,0.691200911998749,0.325097471475601,-9999,0.155947461724281,0.4874407351017,-9999,-9999,1.25973629951477,0.919094741344452,0.212984994053841,0.0238392259925604,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.72958207130432,0.621469259262085,-9999,-9999,-9999,1.38243556022644,1.9596232175827,1.90274727344513,1.43753087520599,1.06846594810486,0.636835813522339,0.769099175930023,1.00607967376709,1.57458162307739,1.75646126270294,1.43112826347351,1.02154242992401,0.448610544204712,0.3773053586483,0.14276884496212,0.135247677564621,0.238638162612915,1.11413204669952,0.0079651428386569,0.0089813182130456,0.0095101622864604,0.00997297558933496,0.0103205088526011,0.124042205512524,0.821141183376312,1.73271536827087,1.249551653862,0.415234059095383,0.274325281381607,0.172012895345688,0.169928565621376,0.136566057801247,0.513225734233856,0.741994142532349,0.685571730136871,0.0159761495888233,0.163948729634285,0.288297832012177,0.103683412075043,0.149209514260292,0.186155542731285,0.198107182979584,0.214408293366432,0.205803588032722,0.40505388379097,0.712355554103851,1.30833280086517,1.55340325832367,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
