"<HEADER software/>"
EwEVersion,"6.7.0.18858 (compiled 5/2/2024)"
Date,"10/21/2024 5:10:42 PM"
"<HEADER ecopath/>"
ModelName,1
ModelSource,"C:\Users\Matt Woodstock\Documents\USGWEM Ecospace\USGWEM_v2.02.eweaccdb.mdb"
"<HEADER ecosim/>"
EcosimScenario,sim-spa_02
TimeSeries,-
StartYear,1980
"<HEADER ecospace/>"
EcospaceScenario,exp2_04_MOM6-phyc-vint
MapRows,53
MapCols,131
MapCellLength,14.84601
MapCellSize,0.1335878
MapLatitude,31.00668
MapLongitude,-98
NoActiveCells,5258
EcoSpaceTimeStepLength,0.0833333333333333
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\Matt Woodstock\AppData\Roaming\Ecopath with Ecosim\ewe_datasets.xml"
"<HEADER end/>"
Variable,EcospaceMapEffort
Fleet name,Comm_Trawl_Bottom_Shrimp

Step,1
Year,0.08333334
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.437665462493896,0.426704913377762,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.494912058115005,0.484314680099487,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.18246029317379,0.202407374978065,0.199373736977577,0.173944383859634,-9999,-9999,-9999,-9999,-9999,1.55554592609406,1.29695570468903,0.886965751647949,0.823276519775391,0.817065179347992,0.845362842082977,2.3546998500824,2.43781590461731,2.26353144645691,1.00337386131287,1.46109080314636,0.90518182516098,-9999,-9999,0.856674432754517,0.851730585098267,0.501261532306671,0.546257734298706,0.344103634357452,0.456096321344376,0.488599598407745,0.457257270812988,0.606719315052032,0.761535286903381,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.19176521897316,0.23388147354126,0.343208730220795,0.367046982049942,0.297666847705841,0.402619898319244,0.628262281417847,-9999,0.678976237773895,1.80820727348328,1.50543987751007,2.01117777824402,2.01586294174194,1.89332616329193,0.977573573589325,1.96233880519867,2.07708954811096,2.03109407424927,2.12518835067749,1.75217163562775,1.66810739040375,1.14196491241455,1.14035272598267,0.907337486743927,0.731415688991547,0.714288473129272,0.399038881063461,0.447932094335556,0.328676789999008,0.383131086826324,0.366063863039017,0.375787228345871,0.516573071479797,0.562293946743011,0.448449611663818,0.240501925349236,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.223933473229408,0.364379584789276,0.999117434024811,1.09503841400146,0.915633380413055,0.913867175579071,0.806443572044373,0.850998342037201,0.54393869638443,1.14020037651062,1.4045318365097,1.8900945186615,1.45269620418549,1.33405959606171,1.27122139930725,1.52309048175812,1.4929393529892,1.69151592254639,1.69403660297394,1.5591686964035,1.45534241199493,1.06767535209656,0.783866584300995,0.561799883842468,0.548208177089691,0.44554004073143,0.526686251163483,0.744050979614258,0.800324440002441,0.754657685756683,0.59220427274704,0.358841061592102,0.361169725656509,0.357019782066345,0.258208870887756,0.220209717750549,0.15623764693737,0.192869827151299,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.15189862251282,2.02478933334351,1.39908337593079,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.536732792854309,-9999,-9999,-9999,0.552693068981171,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.26351130008698,1.26340472698212,0.93967741727829,-9999,0.819060444831848,0.873091697692871,0.735110759735107,1.12257349491119,1.90587508678436,2.08915758132935,1.52194964885712,1.52568244934082,1.23811984062195,1.72612750530243,1.72105503082275,1.58268690109253,1.45431113243103,1.16691052913666,1.00619554519653,0.792772948741913,0.558575689792633,0.562688887119293,0.566302955150604,0.801137208938599,1.00982010364532,0.723739624023438,0.240493848919868,0.491597473621368,0.486630588769913,0.450051635503769,0.477197021245956,0.531255185604095,0.415087878704071,0.388672977685928,0.300306677818298,0.232452094554901,0.208685636520386,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.60121917724609,1.56765460968018,1.2148129940033,1.32534039020538,1.5024299621582,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.85080087184906,0.840972185134888,-9999,-9999,1.264284491539,1.1823490858078,-9999,-9999,0.828281879425049,0.851933717727661,-9999,-9999,-9999,-9999,-9999,2.71366786956787,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.13792717456818,0.972184300422668,1.17292380332947,1.29306530952454,1.87040674686432,2.10755491256714,1.44715213775635,1.569091796875,1.31943583488464,1.92999279499054,1.99693524837494,1.71703851222992,1.29627180099487,0.928998410701752,0.85780942440033,0.800572156906128,0.60621577501297,0.632727205753326,0.962185621261597,0.907264292240143,0.398470222949982,0.0207004379481077,0.0215973760932684,0.125042721629143,0.432940006256104,0.534707069396973,0.48333415389061,0.615675926208496,0.513322651386261,0.510142624378204,0.457286417484283,0.318692654371262,0.316335171461105,0.545548558235168,-9999,-9999,-9999,-9999,-9999,1.00603652000427,1.10903704166412,1.03934597969055,0.95296972990036,0.906663596630096,1.1173198223114,1.42381107807159,1.99876141548157,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.29496681690216,1.73162949085236,-9999,-9999,-9999,-9999,1.12342119216919,1.32426500320435,1.29032897949219,1.53548896312714,1.72978365421295,1.67332828044891,1.57214081287384,0.943077743053436,1.30675637722015,0.813365399837494,-9999,0.525580525398254,1.17061996459961,-9999,-9999,2.30429077148438,2.00676441192627,1.25020742416382,0.546489417552948,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.85518789291382,1.98966562747955,-9999,-9999,-9999,2.53710412979126,2.91745924949646,2.82023549079895,2.31583738327026,1.84013319015503,1.37572431564331,1.47739827632904,1.57510042190552,1.82323455810547,1.78868925571442,1.48459219932556,1.23718738555908,0.855200707912445,0.784790933132172,0.610003769397736,0.57433807849884,0.606482923030853,0.793315589427948,0.0239090379327536,0.0223088823258877,0.0209059827029705,0.0179309006780386,0.0178773701190948,0.0583712607622147,0.302383303642273,0.649702072143555,0.962754547595978,0.664289891719818,0.603653013706207,0.532459616661072,0.509235441684723,0.43820059299469,0.786552011966705,1.04865777492523,1.06099426746368,0.342523157596588,0.644066989421844,0.758597373962402,0.692445337772369,0.7710120677948,0.837431073188782,0.751708388328552,0.76203715801239,0.801006495952606,1.24991703033447,1.61040806770325,2.22332692146301,2.44833898544312,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
