"<HEADER software/>"
EwEVersion,"6.7.0.18858 (compiled 5/2/2024)"
Date,"10/21/2024 5:10:42 PM"
"<HEADER ecopath/>"
ModelName,1
ModelSource,"C:\Users\Matt Woodstock\Documents\USGWEM Ecospace\USGWEM_v2.02.eweaccdb.mdb"
"<HEADER ecosim/>"
EcosimScenario,sim-spa_02
TimeSeries,-
StartYear,1980
"<HEADER ecospace/>"
EcospaceScenario,exp2_04_MOM6-phyc-vint
MapRows,53
MapCols,131
MapCellLength,14.84601
MapCellSize,0.1335878
MapLatitude,31.00668
MapLongitude,-98
NoActiveCells,5258
EcoSpaceTimeStepLength,0.0833333333333333
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\Matt Woodstock\AppData\Roaming\Ecopath with Ecosim\ewe_datasets.xml"
"<HEADER end/>"
Variable,EcospaceMapEffort
Fleet name,"Rec Charterboat"

Step,1
Year,0.08333334
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.713911414146423,0.737727522850037,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.892760813236237,0.899706661701202,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0.000315619632601738,-9999,-9999,-9999,-9999,-9999,0.965901792049408,1.0171971321106,0.969788074493408,0.936255514621735,0.897403538227081,0.880287170410156,0.881375849246979,0.861691832542419,0.862578570842743,0.811247229576111,0.873197376728058,0.679330348968506,-9999,-9999,0.519542813301086,0.675550758838654,0.620372116565704,0.606348037719727,0.802735984325409,0.857745170593262,0.889726042747498,0.908270478248596,0.806781232357025,0.632806420326233,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0,0.000528494769241661,0.00489390594884753,0.026684045791626,-9999,0.361836582422256,0.624553501605988,0.983587563037872,0.912981688976288,1.06967628002167,1.14549231529236,0.951429188251495,0.964804291725159,1.02344942092896,1.06723594665527,1.02039635181427,0.984480738639832,0.951315462589264,0.774363815784454,0.655097305774689,0.70214831829071,0.879542052745819,0.912673115730286,1.21913886070251,1.37337422370911,1.33269584178925,1.46922528743744,1.52508306503296,1.25766456127167,1.59113323688507,1.40390825271606,0.914981305599213,0.717784106731415,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0,0.000705860729794949,0.00823555886745453,0.0337384901940823,0.139689341187477,0.301021426916122,0.461831837892532,1.13083267211914,0.910582423210144,1.39402163028717,1.46000754833221,1.40231430530548,1.58369648456573,1.44575548171997,1.45534229278564,1.58166491985321,1.47958242893219,1.41596519947052,1.27247595787048,1.20533335208893,1.39356303215027,1.31722748279572,1.50525152683258,1.41434729099274,1.77603185176849,2.49909687042236,2.53055763244629,2.07109618186951,2.14186763763428,1.68379306793213,1.67564260959625,1.51883339881897,1.26815640926361,0.826598823070526,0.584767699241638,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.865661799907684,0.868136763572693,0.817529082298279,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0.00069373456062749,-9999,0.095932774245739,0.0921908169984818,0.174969032406807,0.283734112977982,0.466653913259506,0.737842500209808,1.13770020008087,0.995506465435028,1.36338984966278,2.01496076583862,1.73041474819183,1.59465372562408,1.89258944988251,2.05790400505066,1.82529509067535,1.87470948696136,2.0792932510376,1.96486616134644,1.27454841136932,1.60702693462372,2.18806052207947,2.07449555397034,1.65752232074738,1.04942715167999,2.54561376571655,2.44901704788208,2.04545164108276,1.71444499492645,1.27296936511993,1.56384432315826,1.1698282957077,0.949734330177307,0.682558834552765,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.936693370342255,1.08949077129364,0.642763137817383,0.8111851811409,0.831272125244141,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,-9999,-9999,0,0,-9999,-9999,0,0,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0277106016874313,0.0924160555005074,0.0839725956320763,0.155840814113617,0.285291790962219,0.431313008069992,0.431518644094467,0.78685200214386,0.682992875576019,0.872726321220398,1.06949365139008,0.898282587528229,1.30472302436829,2.07497525215149,1.97291040420532,2.01368260383606,2.28845238685608,2.30110502243042,1.76432299613953,2.36887860298157,1.59844827651978,0.939076066017151,0.271160811185837,0.35375103354454,1.19001126289368,2.08007621765137,0.59803569316864,0.631205379962921,1.23036515712738,1.25760722160339,1.34688091278076,1.22672116756439,0.87018084526062,0.754928350448608,-9999,-9999,-9999,-9999,-9999,0.837369978427887,0.784163296222687,1.150759100914,1.23326349258423,1.16665947437286,1.07321953773499,0.982451736927032,0.873719990253448,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0.0258515998721123,-9999,-9999,-9999,-9999,0.0909840241074562,0.12570159137249,0.179952099919319,0.245871171355247,0.253962099552155,0.287828683853149,0.193546056747437,0.805792331695557,0.467000842094421,0.149859115481377,-9999,0,0,-9999,-9999,0,0,0,0.671902000904083,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,-9999,-9999,-9999,0.0187081061303616,0.0408325456082821,0.0972417965531349,0.178651615977287,0.747614741325378,0.436988174915314,0.450170636177063,0.575934588909149,0.637387871742249,0.658280849456787,0.671831011772156,0.692846715450287,1.12984704971313,2.52538442611694,2.17653799057007,2.01489877700806,1.86344814300537,1.68874680995941,0.881626844406128,0.757932484149933,0.277000904083252,0.342743903398514,0.21331362426281,0.28765657544136,0.321965664625168,0.28681668639183,0.631073653697968,1.33950161933899,1.90714406967163,1.65285634994507,1.28894031047821,1.13117361068726,0.651977717876434,0.396508038043976,0.443471372127533,0.432440757751465,0.482330948114395,0.954313516616821,1.0691751241684,0.994141697883606,1.49896121025085,1.34220910072327,1.18888533115387,0.984361708164215,1.24919986724854,0.959132671356201,0.923834323883057,0.934903740882874,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
