"<HEADER software/>"
EwEVersion,"6.7.0.18858 (compiled 5/2/2024)"
Date,"10/21/2024 5:10:42 PM"
"<HEADER ecopath/>"
ModelName,1
ModelSource,"C:\Users\Matt Woodstock\Documents\USGWEM Ecospace\USGWEM_v2.02.eweaccdb.mdb"
"<HEADER ecosim/>"
EcosimScenario,sim-spa_02
TimeSeries,-
StartYear,1980
"<HEADER ecospace/>"
EcospaceScenario,exp2_04_MOM6-phyc-vint
MapRows,53
MapCols,131
MapCellLength,14.84601
MapCellSize,0.1335878
MapLatitude,31.00668
MapLongitude,-98
NoActiveCells,5258
EcoSpaceTimeStepLength,0.0833333333333333
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\Matt Woodstock\AppData\Roaming\Ecopath with Ecosim\ewe_datasets.xml"
"<HEADER end/>"
Variable,EcospaceMapEffort
Fleet name,"Rec Headboat"

Step,1
Year,0.08333334
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.149502843618393,0.155339241027832,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.158076107501984,0.181149587035179,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,4.72033680125605E-05,-9999,-9999,-9999,-9999,-9999,0.479670435190201,0.34203115105629,0.236570939421654,0.217394337058067,0.194869622588158,0.19723916053772,0.718383550643921,0.787391722202301,0.764310121536255,0.318142235279083,0.612110435962677,0.567503929138184,-9999,-9999,0.390771448612213,0.500237166881561,0.46038755774498,0.434434682130814,0.712908267974854,0.776675701141357,0.852633833885193,0.827843308448792,0.704058706760406,0.421695530414581,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0,7.44081335142255E-05,0.00070323800900951,0.00349201681092381,-9999,0.068746954202652,0.376861840486526,0.426454812288284,0.464294463396072,1.03456234931946,1.05255877971649,0.278642475605011,0.514099359512329,1.16149628162384,1.32229292392731,1.19055247306824,1.12348735332489,0.98934942483902,0.763910889625549,0.580660462379456,0.61331981420517,0.790547490119934,0.932422399520874,2.19429612159729,2.76963353157043,2.54841494560242,3.11308717727661,3.37436652183533,2.67456555366516,3.31347513198853,2.8604154586792,0.769981980323792,0.446899265050888,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0,9.08820802578703E-05,0.00120152847375721,0.00473781116306782,0.0213471725583076,0.056911401450634,0.186089426279068,1.01945054531097,1.1483598947525,2.02699208259583,2.23886585235596,2.22572994232178,3.44594764709473,2.87252593040466,2.95162796974182,3.37223196029663,2.9527268409729,2.76319193840027,2.29038047790527,2.31163859367371,2.94527053833008,2.64310312271118,3.02097225189209,2.60624599456787,2.80561661720276,2.37113308906555,2.64523243904114,2.55182552337646,2.7104766368866,2.27080106735229,2.86465644836426,2.60586190223694,2.08200597763062,1.07463335990906,0.299350500106812,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.916187584400177,0.923051834106445,0.870450854301453,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,8.48179261083715E-05,-9999,0.0139307398349047,0.0151982512325048,0.0286870468407869,0.0808297768235207,0.45432984828949,1.08344113826752,1.69724214076996,1.26680278778076,1.9659960269928,5.37163543701172,4.04819917678833,3.60211682319641,4.14094495773315,4.28591203689575,3.75556111335754,3.8413553237915,3.8298499584198,3.60870432853699,2.30320119857788,2.79924893379211,2.3169584274292,1.54959845542908,0.811235189437866,0.6770259141922,1.90678250789642,2.02783465385437,1.84040677547455,1.88349390029907,1.96292984485626,2.65398502349854,2.09839677810669,1.51828980445862,0.412541449069977,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.03044092655182,1.29691874980927,0.767509400844574,0.859456479549408,0.86688506603241,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,-9999,-9999,0,0,-9999,-9999,0,0,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00449828896671534,0.0155074950307608,0.0200485493987799,0.0460731275379658,0.285540610551834,0.567295849323273,0.525732159614563,0.841124475002289,0.801701426506042,2.06892371177673,2.1905369758606,1.60012745857239,2.22954106330872,3.41515970230103,3.37588596343994,3.27121186256409,3.34822750091553,3.02290534973145,2.40760850906372,1.99678802490234,0.918514966964722,0.311387628316879,0.0830676406621933,0.114175550639629,0.661496818065643,1.38531768321991,0.414039969444275,0.549404144287109,1.32043385505676,1.71622502803802,2.3487823009491,2.23941516876221,1.29452002048492,0.497575402259827,-9999,-9999,-9999,-9999,-9999,0.773689270019531,0.765581011772156,1.40130317211151,1.60595464706421,1.57517659664154,1.38358056545258,1.23911428451538,0.92702978849411,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0.0197335071861744,-9999,-9999,-9999,-9999,0.0609218962490559,0.0828447639942169,0.0659156814217567,0.150882720947266,0.0808211117982864,0.211329460144043,0.192213714122772,0.818753778934479,0.444853216409683,0.121589370071888,-9999,0,0,-9999,-9999,0,0,0,0.0959287732839584,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,-9999,-9999,-9999,0.0065657626837492,0.0405223742127419,0.101927682757378,0.209555670619011,0.92944198846817,0.508066713809967,0.48098361492157,0.691470086574554,1.42276442050934,1.17390370368958,0.911711990833282,0.848756372928619,1.40796267986298,2.89323878288269,2.39943766593933,1.93962955474854,1.60938239097595,1.20180153846741,0.301692008972168,0.19228108227253,0.0690172016620636,0.0982497334480286,0.0640930011868477,0.0937822088599205,0.154474973678589,0.176402688026428,0.494533270597458,1.0547993183136,1.90764498710632,2.19118475914001,2.48952198028564,2.07776832580566,0.448458403348923,0.210002720355988,0.172053456306458,0.068574495613575,0.165757119655609,0.815515875816345,1.20559275150299,1.23705434799194,2.87822365760803,1.99248075485229,1.71743941307068,1.40943133831024,1.73500406742096,1.1618686914444,1.05343627929688,1.03955066204071,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
